id,question_processed,answer_processed,dataset
a62ti2,Why aren't you allowed cellphones and other wave emitting equipment in a mine?,"Cell phones do not work underground due to all the rock shielding the radio signals. So there is no reason to bring it with you. However in a mine there are lots of dangers that can potentially be triggered by cell phones. They often use radio signals to set off explosives. This was in fact one of the first used of radio. However the triggers they use are very simple as they are designed to be disposable and to not have interference. So it is possible that a phone can set off these explosives just like it can interfere with a speaker if you put them too close. And secondly a mine often have explosive atmospheres. They often have lots of explosive dust and can come upon pockets of methane or other explosive gasses. So anything that can make a spark is prohibited. Even a small cell phone will generate thousands of volts in its antenna. So if there is some sort of damage, for example water or soda having corroded away some of the material close to the antenna, then the phone might create a spark which can detonate the atmosphere.",eli5
5f6zk6,Why can't you divide a number by 0? Mathematics,"Algebraic reason for this is that, division is just multiplication. If you're dividing by 2, you're actually multiplying by half.

If you're dividing by 4, you're actually multiplying by a quarter, or 1/4.

If you're dividing by 0, you're actually multiplying by 1/0.

So if you have 0 x 1/0, that should equal 1, because 0 from both sides simplify away. But

    0 * 1/0 = 1           | 0 = 0+0
    (0 + 0) * 1/0 = 1     | distributivity, (a + b) * x = ax + bx
    0 * 1/0 + 0 * 1/0 = 1 | using the identity on the first row
    1 + 1 = 1
    2 = 1

None of the rules we used above sorta allow us to make any exceptions to them. Basic arithmetic just doesn't allow for 0 to be divisor without things breaking down.

How in analysis you may study this is, instead of trying to divide by 0, you divide by small number **close** to 0, but not 0. So if you divide 1 by 0.001, you get 1,000. If you divide 1 by 0.00001, you get 10,000.

Which is why some think 1/0 should be infinity. Unfortunately, -0.0001 is close to 0 as well, and 1/-0.0001 = -10,000. You get negative infinity if you approach 0 from negative side. So it's not like it being infinity or negative infinity works either. 

And from just common sense standpoint, there really isn't that much you can do to make sense of ""divide 1 to 0 people, how much does each person get?"". Obviously you can answer anything you want, and it makes equal amounts of sense since there are no people you're dividing it with.",eli5
57278f1edd62a815002ea058,why might two plants be similar but not actually be in the same group?,convergent evolution,squad2
-9128434322669127754,why was the battle of hampton roads fought?,"part of the effort of the confederacy to break the union blockade , which had cut off virginia 's largest cities , norfolk and richmond , from international trade",naturalquestions
-8701690416640742384,what is the major cause of water scarcity in south africa?,drought,naturalquestions
2901675,what are the physiological effects of sleep deprivation?,"restricting sleep below an individual's optimal time in bed (tib) can cause a range of neurobehavioral deficits, including lapses of attention, slowed working memory, reduced cognitive throughput, depressed mood, and perseveration of thought.",gooaq
7321034145616057767,how would a hypotonic solution affect a cell?,resulting in a lower external osmotic pressure and a net flow of water into the cell,naturalquestions
572629d9ec44d21400f3db2b,what caused the dutch to expand thier spice trade in the malaccan straits?,ousting the portuguese in 1640–41,squad2
2740084,what are causes of hot flashes?,"but most research suggests that hot flashes occur when decreased estrogen levels cause your body's thermostat (hypothalamus) to become more sensitive to slight changes in body temperature. when the hypothalamus thinks your body is too warm, it starts a chain of events — a hot flash — to cool you down.",gooaq
-2925776709721202555,how did black mountain north carolina get its name?,from the dark appearance of the red spruce and fraser fir trees that form a spruce - fir forest on the upper slopes which contrasts with the brown ( during winter ) or lighter green ( during the growing season ) appearance of the deciduous trees at lower elevations,naturalquestions
709908,can high blood pressure medicine cause cancer?,"nmba is a ""potential human carcinogen,"" the fda says. the recall comes amid a larger string of recalls of blood pressure medications valsartan, losartan and irbesartan that contain trace levels of carcinogens nmba, n-nitrosodimethylamine (ndma) and n-nitrosodiethylamine (ndea), the fda says.",gooaq
906489116209593562,why is the tunisian revolution called the jasmine revolution?,after tunisia 's national flower and in keeping with the geopolitical nomenclature of `` color revolutions '',naturalquestions
497706,side effects of taking shatavari,"anxiety, dizziness and fatigue, stomach ache and flatulence, weight gain, breast tenderness and premenstrual stress.",msmarco
572ec348c246551400ce462f,how did gaddafi's decisions in the oil industry impact other opec states?,"in 1970, other opec states followed suit, leading to a global increase in the price of crude oil.",squad2
5d6880,Why does putting your card into a plastic bag make it work in a card reader. ,"The strip on the back of your credit card is actually a small magnetic field.  When you swipe it in a card machine, it reads these small magnetic fields and registers them as either a zero or a one, otherwise known as binary code.  Binary code is a set of these ones and zeros that can represent a number, letter, or even an instruction for the computer to carry out.  The back of your card will have several of these sets of binary code that ultimately represent your cards unique number.  

When your card gets scratched or otherwise dirty, it can create anomalies when the reader attempts to register the numbers.  When this happens, the card is not processed and you'd have to try again.  Card readers are sensitive so any little thing that could cause the magnetic field to be read incorrectly might cause it to fail.  When you use a bag or scotch tape, it creates a buffer that allows the magnetic strip to still be translated by the reader, but also can mitigate possible anomalies caused by the scratches or dirt because they're not directly rubbing up against the reading head anymore.

There are times when the card itself will be beyond saving, especially if the strip is scratched deeply or just worn out.  Luckily, most if not all card companies will replace your card free of charge.  Card readers themselves can also be finicky, especially if it's older or is dirty and not cleaned.  Try not to keep your card next to anything magnetic and also away from your cell phone as these can demagnetize the strip, depending on the kind of magnetic strip being used.",eli5
1076616,why would my period come twice in one month,it can be a signal of an underlying disorder or a woman has a short cycle.,msmarco
581225,what can cause excessive sweating of head,"it can be caused by certain medications, or an underlying condition such as a thyroid problem.",msmarco
3b7b1c,Why is my corporate e-mail inbox so small (250 MB) when Google gives me 15 GB for free? ,"Google, and other commercial hosting companies put your data in various places where electricity or bandwidth is cheap, shared with other data, track duplicated data (so if a hundred user store the same file, only one copy is saved), hire tons of skilled engineers to maintain them, and generally practice various technical tricks to keep the cost, which would be illegal for financial companies. For financial companies to offer the same level of service while obeying the strict law enforced to them, it would be like spending million of dollars for the cafeteria while the employee can just walk a block for better food.

While Google, Yahoo and Microsoft offers business level hosting (with additional security and service level), not every company is comfortable with leaving their data outside their control. The 45$ per employee every couple of months is still cheaper than the ridiculous lawsuit when someone accidentally exposed gigabytes of confidential data.",eli5
-1667183690873782258,what was the cause of the tollund man's death?,hanging,naturalquestions
572eb943c246551400ce4577,how did gaddafi lose power?,"an anti-gaddafist uprising led by the national transitional council (ntc) broke out, resulting in the libyan civil war",squad2
-958019421797954670,what causes the convection currents in the earth's mantle?,convection currents carrying heat from the interior of the earth to the surface,naturalquestions
7899960,what happens if you take ibuprofen while breastfeeding?,"yes, you can take ibuprofen, as long as you don't have a stomach ulcer or asthma that gets worse if you take ibuprofen. only a small amount gets into your breastmilk and it's unlikely to harm your baby. take ibuprofen for the shortest time possible and stick to the recommended dose.",gooaq
572eb93fdfa6aa1500f8d319,how come no one knows for sure when gaddafi was born?,"nomadic bedouins, they were illiterate and kept no birth records",squad2
733291,can jaw clenching cause neck pain?,"teeth grinding (bruxism) bruxism can cause tightness or feelings of soreness in the face, neck, and upper or lower jaw. it can also cause headaches or earache.",gooaq
683683,can antibiotics cause blood pressure to rise?,"antibiotics cause bp changes in patient with resistant hypertension. treatment with a broad-spectrum antibiotic may lead to significant changes to the gut microbiota (gm), and these changes may have lasting effects on blood pressure (bp) long after antibiotic withdrawal.",gooaq
6dzt4l,How do we know climate change is caused by humans?,"We know that introducing chemicals like CO2, Methane and CFCs into the atmosphere alters the climate.

We know that human activity has released more of these chemicals into the atmosphere.

We know that the climate is warming faster than at any time in Earth's history.

Joining the dots from that point is fairly easy.",eli5
-1623724392675379658,why do we wave our arms when we walk?,"reduces the angular momentum of the body , balancing the rotational motion produced during walking",naturalquestions
1418440712727586042,what was the larger effect of the deaths of the civil rights workers in mississippi?,passage of the voting rights act of 1965,naturalquestions
66mdzx,Why does America use the date format MM/DD/YY instead of the more logical DD/MM/YY used elsewhere? ,"In the US we say ""April 20th"" instead of ""the 20th of April"".

The date format represents the way it's said.",eli5
225329,how does alcohol affect erectile dysfunction,"alcohol affects a person’s sexual arousal, control of arousal and rate of distractibility during sexual stimulation.",msmarco
6ac0it,Why do we seem to get hungrier faster when we eat breakfast?,"Breakfast = break fast. Your body was in a *fasting* mode for a long period, if you skip breakfast your body will still be in a fasting mode until you eat again. Once you've eaten your body is more active, using energy, and digestion is going full speed ahead. You get hungry again in a few hours.",eli5
-9110294062838758750,which causes winds to blow over the surface of earth?,the differential heating between the equator and the poles,naturalquestions
6cieho,Why do so many people fear clowns? ,"One train of thought is that clowns (along with zombies) are part of the Uncanny Valley.

If you were to draw a line chart where the x axis is the degree of ""human-ness"" something is, and the y axis is how positively we respond to that thing, you'd see as things are slightly human-like (like a teddy bear), people like it, and when things are EXACTLY human-like (well, humans), people like it.  But the spot juuuust before exactly-human, we have an instinctual bad reaction to it.

It makes a valley in that line chart, so it's called the Uncanny Valley.  So like when we look at video game cinematics where people don't quite work right, that's another example.",eli5
925236,what would cause a air condition to smell bad even if the a/c is good,"by dirt, mold and bacteria that build up within the unit.",msmarco
760608,can the morning after pill cause an ectopic pregnancy?,"no, there is no evidence to suggest that emergency contraceptive pills (also known as ""morning after pills"" or ""day after pills"") increase your risk of having an ectopic pregnancy. because emergency contraceptive pills reduce your risk of pregnancy, they also reduce your risk of having an ectopic pregnancy.",gooaq
5730338eb2c2fd1400568a64,why are average trip distances so lengthy in san diego?,"the city's hilly, canyon-like terrain",squad2
349137462060699399,what is the main cause of acid precipitation?,emissions of sulfur dioxide and nitrogen oxide,naturalquestions
7330283949157420097,what is the cause of the great red spot on jupiter?,"a persistent high - pressure region in the atmosphere of jupiter , producing an anticyclonic storm 22 ° south of the planet 's equator",naturalquestions
-749904618150714478,what was the cause of the freedom riders?,"to challenge the non-enforcement of the united states supreme court decisions morgan v. virginia ( 1946 ) and boynton v. virginia ( 1960 ) , which ruled that segregated public buses were unconstitutional",naturalquestions
573075b12461fd1900a9ce25,why is israel referred to as the 51st state?,the annual funding and defense support it receives from the united states,squad2
-447259057575614583,how did the shark die in jaws the book?,"it succumbs to its many wounds , rolls over in the water and dies",naturalquestions
7895964,what happens if you don't get your next depo shot?,"if you don't receive the next shot in time, you risk becoming pregnant because of decreased levels of the drug in your body. if you can't get your next shot on time, you should use a backup method of birth control.",gooaq
572ee029cb0c0d14000f1656,how did liang ji die?,forced to commit suicide,squad2
1098722,how atrial fibrillation causes stroke?,"stroke. in atrial fibrillation, the chaotic rhythm may cause blood to pool in your heart's upper chambers (atria) and form clots. if a blood clot forms, it could dislodge from your heart and travel to your brain. there it might block blood flow, causing a stroke.",gooaq
-2034976190245987241,why a congressional conference committee is necessary for a bill to become a law?,to resolve disagreements on a particular bill,naturalquestions
2992797,what causes fine motor skills delay?,"researchers don't always know what causes these fine motor problems, but some possibilities include: premature birth, which can cause muscles to develop more slowly. a genetic disorders such as down syndrome. neuromuscular (nerve and muscle) disorders such as muscular dystrophy or cerebral palsy.",gooaq
2s8gkq,Why can't we treat deseases like depression with happiness hormones like dopamin? ,"Because too much dopamine causes psychosis (as seen in people who overdose on levodopa, a dopamine drug used to treat parkinsons). And giving people regular doses of dopamine have no beneficial effect on mood--as you must send the dopamine directly into the pleasure centers of the brain for it to work--and pills can't do that.",eli5
-8871638300282340695,why are state constitutions usually longer than the u.s. constitution?,they are more detailed regarding the day - to - day relationships between government and the people,naturalquestions
3972030,why are rowenta irons so good?,"a very powerful 3100w steam generating iron box from rowenta is ideal both for your comfort and efficiency. with a stainless steel coating, this product is made to last longer than many other steam irons. it has a 230g of steam burst per minute with a 0.4l of water capacity tank.",gooaq
4006378,why does my stomach hurt when i read in the car?,"when you read in a car, your visual field stays still but your inner ear detects the twists and turns. this sensory conflict triggers nausea, possibly because the brain thinks you've eaten something toxic that's making you hallucinate.",gooaq
573450ed879d6814001ca500,why may regulations ban the use of lead in ammunition?,environmental concerns,squad2
3526597300242364097,what was the effect of the pequot war?,the elimination of the pequot tribe as a viable polity in southern new england,naturalquestions
6711255,if your phone number is blocked what happens?,"if you're blocked, you would only hear a single ring before being diverted to voicemail. an unusual ring pattern doesn't necessarily mean your number is blocked. it may just mean the person is talking to someone else at the same time you're calling, has the phone off or sent the call directly to voicemail.",gooaq
572745d8f1498d1400e8f591,what did proponents of affirmative action claim some of the effects of policies that support affirmative action had done?,help to open doors for historically excluded groups in workplace settings and higher education,squad2
5731304e497a881900248c39,why must high-power leds be mounted on a heat sink?,to allow for heat dissipation,squad2
5998372333357266335,why was the sinking of the lusitania important to ww1?,turned public opinion in many countries against germany,naturalquestions
572f7ac2b2c2fd1400568169,why did the luftwaffe fail to locate their targets?,poor intelligence,squad2
8782366262910914075,why does corrosion usually occur at an anode?,the more active metal ( the anode ) corrodes at an accelerated rate and the more noble metal ( the cathode ) corrodes at a slower rate,naturalquestions
-4857600935565701279,why did the soviets not like the marshall plan?,their belief that the plan was an attempt to weaken soviet interest in their satellite states,naturalquestions
572511840a492a19004356d2,why was prince hall freemasonry formed?,refusal of early american lodges to admit african-americans,squad2
-8066209722589458462,why was the battle of trenton important to the american revolution?,"significantly boosted the continental army 's flagging morale , and inspired re-enlistments",naturalquestions
8194342767714605563,what effect did russia's signing of the treaty of brest-litovsk have on wwi?,ended russia's participation in world war i,naturalquestions
2075634849836850241,why is it important for veins to have valves?,to prevent backflow,naturalquestions
592243,what causes sulphur burps,giardia lamblia and foods containing hydrogen sulfides.,msmarco
-1025273229028180011,why all monosaccharides are reducing sugar but not all disaccharides?,nonreducing disaccharides like sucrose and trehalose have glycosidic bonds between their anomeric carbons and thus can not convert to an open - chain form with an aldehyde group ; they are stuck in the cyclic form,naturalquestions
56d6311c1c85041400946fd0,why do people eat gaejang-guk in the summer months?,to balance the body's heat,squad2
731608,can indigestion cause back pain?,"for the more serious cases, pain can be felt in the back as well. heartburn is another digestive disorder that may cause pain in your back. symptoms of heartburn caused by gastrointestinal reflux disease (gerd), include a burning sensation in the chest, a sour taste in the mouth, and pain the middle of your back.",gooaq
1065071,why do muscles ache,"because most instances of myalgia result from too much stress, tension, or physical activity.",msmarco
9ket0c,Why do planes need to dump fuel before emergency landing?,"Aircraft have both a Maximum TakeOff Weight and a Maximum Landing Weight. For some planes the difference between the two can be quite big. More weight means more inertia and needing a longer runway to bleed of kinetic energy.

There is also the fact that aircraft fuel is quite flammable and if you are having an emergency and might possible crash you want as little as possible of that with you.",eli5
641156581878877158,which are the most frequent cause of helminth infections in the united states?,"ingestion of contaminated vegetables , drinking water , and raw or undercooked meat",naturalquestions
7911846340572048905,what caused the unusual landscape at the valley of fire?,"complex uplifting and faulting of the region , followed by extensive erosion",naturalquestions
7734141458303557489,how many deaths per year are caused by car accidents?,"37,461",naturalquestions
169086,does metoprolol er cause low blood sugar,"no, normal doses of metoprolol probably do not significantly increase the risk of low blood sugar for most people.",msmarco
762377,what is jock itch caused by,"jock itch is caused by a fungus. fungi commonly grow on or in the top layer of skin. they may or may not cause an infection. fungi grow best in warm, moist areas of the body such as the groin, inner thighs, and buttocks.",msmarco
-2723133941683365826,why did the colonists have a problem with the tea act of 1773?,"because they believed that it violated their rights as englishmen to ""no taxation without representation"", that is, to be taxed only by their own elected representatives and not by a british parliament in which they were not represented",naturalquestions
1062390,why did einstein introduce his cosmological constant into the original field equations for general relativity?,ensuring stability of a static closed universe.,msmarco
4072258,will government shutdown affect my unemployment?,"in the event of a federal government shutdown, federal employees may be eligible for unemployment compensation for federal employees (ucfe). the ucfe program is administered by state unemployment insurance (ui) agencies acting as agents of the federal government.",gooaq
5706cfe02eaba6190074ad16,what causes the behavioral adaptations necessary for migration?,genetic control,squad2
584766,what causes a perforated bowel?,"even benign tumours, such as desmoid tumours (eg, those originating from the fibrous tissues of the mesentery), may cause bowel perforation.",msmarco
7701604,what causes fungal infection in dogs ears?,"if your dog swims or is bathed frequently, trapped water or debris in the ear canal can lead to yeast infections. allergens like pollens, mold, dust, feathers, cigarette smoke, cleaning products, and certain foods can also lead to ear infections in a dog.",gooaq
3982042,why biodiversity is important to human?,"biodiversity plays a crucial role in human nutrition through its influence on world food production, as it ensures the sustainable productivity of soils and provides the genetic resources for all crops, livestock, and marine species harvested for food.",gooaq
56e16aa1cd28a01900c678c7,how did lavoisier produce hydrogen for his experiments?,reacting a flux of steam with metallic iron through an incandescent iron tube heated in a fire,squad2
87883,causes of pertussis whooping cough,bordetella pertussis,msmarco
589702,what causes lymphedema,defect in the function of the lymphatic system,msmarco
1835685490976832847,what was the effect of the three-field system?,created a significant surplus and increased economic prosperity,naturalquestions
4078086,will the government shutdown affect irs refunds?,"the short and simple answer is that the shutdown will not affect your tax refund. you can expect to receive your refund according to the same refund schedule. the irs furloughed more than 80% of its employees during the shutdown, but it did not close entirely.",gooaq
572a50757a1753140016ae9f,what causes osmotic diarrhea?,"if a person drinks solutions with excessive sugar or excessive salt, these can draw water from the body into the bowel",squad2
3850160243572076380,what caused natural selection among the peppered moths of manchester england?,air pollution during the industrial revolution,naturalquestions
963874511244989345,what is the name of the virus that causes ebola?,ebolaviruses,naturalquestions
573346cc4776f419006607ee,what will happen if too many consumers save or pay down debt simultaneously?,can cause or deepen a recession,squad2
1k7g8b,"Why are fake items so much more common in India? I'm an Indian who lives in the United States and every time I visit India, I go to look at eyeglasses and you can't find the real, authentic ones unless you visit the mall. All the street shops sell fake brands, and that got me wondering why that was so? In the US, it's very difficult to find fake brands, but why is it so common in India?","Many people in India have little money to spend. They still want stuff that looks expensive, but they cannot afford the real deal, so they go for the fakes. 
Also in many western countries imitations are prohibited to protect the brands. Laws may be different in India, or they are not enforced as well.",eli5
-261062160881692163,why is there no tread on nascar tires?,"provide the largest possible contact patch to the road , and maximize traction for any given tyre dimension",naturalquestions
57060d1275f01819005e78fd,why was the first boardwalk built in atlantic city?,to help hotel owners keep sand out of their lobbies,squad2
5731f0f0b9d445190005e6cd,how did the methodist movement spread so far and wide?,vigorous missionary activity,squad2
497645,side effects of marijuana use,"bone problems, increased risk of side effects linked to musculoskeletal or connective tissue disorders, falls, muscle problems (pain, twitching, or weakness), numbness, recurrence in multiple sclerosis, reduced coordination, restlessness, and speech disorders, short-term effects of marijuana use include problems with memory and learning; distorted perception (sights, sounds, time, touch); difficulty in thinking and problem solving; loss of coordination and motor skills; increased heart rate, anxiety, bloodshot eyes, dry mouth.",msmarco
3286004,what is the cause of too much potassium in blood?,"the most common cause of genuinely high potassium (hyperkalemia) is related to your kidneys, such as: acute kidney failure.",gooaq
591998,what causes spotting instead of period,"implantation, from a cyst or a short luteal phase and impaired egg quality.",msmarco
5726861f708984140094c8df,organophospates and carbamates cause which symptoms?,weakness or paralysis,squad2
-5138334614641463091,why was the period between the winter of 1939 and the spring of 1940 called the phoney war?,"war had been declared by each side , but no western power committed to launching a significant land offensive",naturalquestions
829235,what is the main cause of the giant pandas decline,habitat loss,msmarco
3965284,why are meteors known as shooting stars?,"the sand-sized grains of dust sometimes slam into the thin air that surrounds the earth, called the atmosphere, where they get hot very quickly. as the dust grains burn up, they leave bright streaks of light across the night sky. these streaks are called meteors, often nicknamed 'shooting stars' or 'falling stars'.",gooaq
1ot9ak,Why can't fish that live in salt water survive in freshwater? ,"Osmosis is a process in cell membranes under which water goes from areas of low solute concentration to high solute concentration.

Organisms generally can't live with lots of salt inside them, so saltwater fish have low levels of salt inside themselves, but are surrounded by water that has high concentrations of salt. So they are constantly losing water through osmosis. As a result, they are built to constantly ""drink in"" more water (and have their kidneys filter out the salt).

Freshwater fish generally have a higher level of salt inside their bodies than in the surrounding water. They are constantly taking in water through osmosis. They are therefore built to constantly ""pee"" out excess water.

Since most saltwater fish are built to deal with osmosis in a way that is *opposite* from the adaptation they need, they cannot survive in fresh water. They do not have the same adaptions to rapidly get rid of water from their bodies, since they are used to water naturally leaving their bodies through osmosis.",eli5
3991454,why do i feel butterflies in my stomach for no reason?,"a nervous stomach can give someone “butterflies” in their stomach, or even make a person feel as if they need to vomit. sometimes, people call irritable bowel syndrome (ibs) a nervous stomach. other names for ibs include spastic colon or irritable colon. however, a person can have a nervous stomach without having ibs.",gooaq
56dddab666d3e219004dad32,why did the people of the netherlands rise up against philip ii?,"high taxes, persecution of protestants by the government, and philip's efforts to modernize and centralize the devolved-medieval government structures of the provinces",squad2
5725f659ec44d21400f3d793,illyrian pirates caused two wars in the balkans with what empire?,roman,squad2
6drkdk,Why are eggs a staple in breakfast?,"Because they are quick to prepare and provide a lot of calories for the day.

Eggs are actually ubiquitous in cooking. It is only the plain fried egg or scrambled egg that is relegated to being a breakfast food due to being *that* easy to make.",eli5
4346916611595379087,why is the enthalpy of formation of an element zero?,there is no change involved in their formation,naturalquestions
51gk2m,Why do most people's faces swell up after crying for a long time or crying hard? ,"Your body is flooding your system with histamines causing inflamation, congestion, etc. in response to stress.",eli5
5706046752bb8914006897ad,why do broad winged birds avoid geographical barriers?,lack of thermal columns,squad2
572eb75ec246551400ce4554,why did central americans flee to the u.s.?,civil wars engulfed several central american countries in the 1980s,squad2
583780,what cause fluid build up on the knee,"gout and pseudo-gout, arthritis.",msmarco
-2581053827272367781,why has the capital of el salvador been rebuilt several times?,earthquakes and volcanic eruptions,naturalquestions
7896947,what happens if you don't take high blood pressure medicine?,"if you stop taking antihypertensive medication without discussing it with your doctor, you put yourself at risk for a stroke. high blood pressure is the most important preventable risk factor for stroke, according to the american heart association (aha) and the american stroke association (asa).",gooaq
444829,malaria is caused by what,plasmodium parasites,msmarco
665734,what happens if a person has proteinuria,a sign that someone is at risk of developing progressive deterioration of kidney function.,msmarco
1185580,why does my stomach bloat after every time i eat,"your stomach bloat after every time you eat is a sign of chronic indigestion, or dyspepsia or it is due to air swallowing or aerophagia or consuming carbonated drinks.",msmarco
3995636,why do the leaves turn yellow in fall?,"chlorophyll breaks down but in the fall, because of changes in the length of daylight and changes in temperature, the leaves stop their food-making process. the chlorophyll breaks down, the green color disappears, and the yellow to orange colors become visible and give the leaves part of their fall splendor.",gooaq
768707,can venous insufficiency cause petechiae?,"in patients with cvi, these lesions are a pre-ulcer state as opposed to a scar from previously healed ulcerations. scattered petechial flecks are often seen within the atrophy tissue and hemosiderin pigmentations in the periphery of the lesion.",gooaq
1lhsu8,Why does time seem to go by exponentially quicker as I grow older? ,"every moment you live becomes a smaller and smaller representation of your life.

ex: at 5 years old, 1year = 20% of your life

at 25, 1 year = 4% of your life

at 50, 1 year = 2% of your life.",eli5
552217177133994332,why was london built where it is now?,founded on the point of the river where it was narrow enough to bridge and the strategic location of the city provided easy access to much of europe,naturalquestions
3954804,why are california gas prices high?,"more than other states, california gas prices can sometimes skyrocket, because the state mandates cleaner gas with fewer emissions. that makes california gas cost more to refine, because it's a special oxygenated blend that meets the state's strict air-quality rules.",gooaq
573058df069b531400832098,how did the windows 8.1 upgrade enhance desktop startup?,ability to boot to the desktop instead of the start screen,squad2
5tezf1,Why does a ball bounce higher when it has more air in it? ,"When a ball bounces, it deforms. With a ball that deforms more, more energy goes into the deformation, and more goes into ""wasted energy"" (heat, sound). With a ball that has higher pressure it deforms less, less wasted energy, and due to the conservation of energy, it will return more energy and bounce higher. TD;DR: a higher pressure ball wastes less energy and energy is conserved so it goes into movement.",eli5
-1662711087451254762,what was one effect of the french revolution?,a spread of french culture,naturalquestions
665779,what happens if dogs don't exercise,"dogs — particularly puppies and young dogs — have a lot of energy, and if they don’t get the chance to burn it off, destructive behavior is often the result.",msmarco
572a2278af94a219006aa838,why was green chosen for a number of new european political parties in the 1980s?,environmentalism,squad2
987433,does drinking too much alcohol cause excessive sweating?,"how alcohol triggers night sweats. alcohol affects the central nervous system, the circulatory system, and virtually every part of your body. drinking can increase your heart rate and widen blood vessels in your skin. this can trigger perspiration.",gooaq
5726c96f708984140094d167,what was the possible cause for napoleon's death suggested in a 1961 nature paper?,arsenic poisoning,squad2
936406,do tartar cause bad breath?,"over time, plaque hardens into tartar. you can't remove tartar by brushing, and it can irritate your gums. tartar may cause pockets, or small openings, to form in the area between the teeth and gums. food, bacteria, and dental plaque can collect in the pockets, causing a strong odor.",gooaq
587682,"what causes extreme swelling, pain in foot and ankle",fluid retention or oedema.,msmarco
572f7534a23a5019007fc643,which type of injection has caused patients to report they have pain but aren't bothered by it?,morphine,squad2
4049258,why osi model is called open system?,"this model is called open system interconnection (osi) because this model allows any two different systems to communicate regardless of their underlying architecture. ... the international standard organization (iso), in an effort to encourage open networks, developed an open systems interconnect reference model.",gooaq
4028391,why is mrsa causing problems in hospitals?,"another factor that puts people in hospitals at greater risk for mrsa is the fact that there are numerous entry points that allow it to get in the body. people with open wounds, burns, feeding tubes, catheters, and ivs all have open areas on their body where mrsa could easily enter.",gooaq
6361879540759439250,why was there an nhl lockout in 2005?,a labor dispute,naturalquestions
1000424,does low dopamine cause fatigue?,"the principal symptom of dopamine deficiency is depression, the feeling of boredom (chronic boredom), apathy, loss of satisfaction, chronic fatigue and low physical energy with no desire to move the body. there is a general lack of drive, motivation and enthusiasm.",gooaq
-1886251926169298464,what is the organism that causes strep throat?,group a streptococcus,naturalquestions
581119,what can cause bleeding during pregnancy other than miscarriage,cervical changes,msmarco
70864,can lisinopril cause hair loss,yes,msmarco
7896548,what happens if you don't receive your stimulus check?,"if you do not receive the stimulus money you believe you are due, the irs says you can claim the payment as a credit when you file your 2020 tax return. similarly, if you got stimulus money but not the full amount you think you were due, you can also claim the difference as a credit when you file your 2020 tax return.",gooaq
735268,can konjac noodles cause bloating?,"konjac side effects like most high-fiber products, however, it may cause digestive problems such as: bloating. diarrhea or loose stools.",gooaq
590828,what causes pink eye,it can be caused by bacteria or viruses.,msmarco
581239,what can cause fatigue,"a thyroid disorder, heart disease, diabetes, alcohol or drugs or lack of regular exercise and stress.",msmarco
6kbg28,How come we can't always tell which nationality a singer is by just their singing voice? ,"Every singer has influences. There were artists that they admired and wanted to be like, and that influenced their style and performance. And those influences? They had influences too.

So, why can't you call the nationality by the singing voice? Because most English speaking pop stars had influences that were American -- or their influences had American influences, and so on. This goes back to the 1950s, when rock and roll emerged in the southern United States and spread very quickly as a popular music style.

You can see this in a lot of British artists; many say that they ""sound American"" because they affect a rhotic accent when the sing, even though they may have a non-rhotic accent in their speech. You see this all the way back to the British Invasion of the mid 60s -- groups like the Beatles and The Rolling Stones were emulating their influences, which were people like Elvis Presley and Jerry Lee Lewis and the other pioneers of rock and roll.

That said, not everybody did that. Herman's Hermits, for example, have their accent quite noticeable in their performances. But still these influences have trickled down from artist to artist over the last 60 years.",eli5
5730c0c0396df91900096321,why are some people hesitant to use led lighting?,more expensive,squad2
6399739448805593784,why should glucose not be present in urine?,because the kidneys are able to reabsorb all of the filtered glucose from the tubular fluid back into the bloodstream,naturalquestions
1066628,why does beer cause sneezing attacks,"it contain histamine, which causes the millions of people with histamine allergies to develop less-than-fun symptoms.",msmarco
6842462651176217056,why was the development of steam power so important to industrialization brainly?,"by using a steam engine a factory could be located anywhere , not just close to water",naturalquestions
57275a2bdd62a815002e9b9f,"why would all the remaining stores of lard, butter and meat left at vastenavond be eaten?",it would soon start to rot and decay,squad2
-5450915413240418294,what is the second leading cause of preventable deaths in the united states?,smoking tobacco,naturalquestions
6356509130031183711,why did the british introduce the tank in world war i?,a response to the stalemate that had developed on the western front,naturalquestions
3972315,why are scrambled eggs bad for you?,eggs' high cholesterol content is perhaps the chief concern. one large scrambled egg contains 169 mg of cholesterol—more than half the recommended average daily intake. cholesterol is the circulating lipoproteins present in your blood.,gooaq
84457,cause of pain in ribs on right side,"pleuritis, or inflammation of the pleura (the membrane covering the lung).",msmarco
7522861967663781594,why does medicaid vary from state to state?,"managed by the states , with each state currently having broad leeway to determine who is eligible for its implementation of the program",naturalquestions
697540,can drinking too much alcohol cause liver pain?,alcohol-related liver disease (arld) is caused by damage to the liver from years of excessive drinking. years of alcohol abuse can cause the liver to become inflamed and swollen. this damage can also cause scarring known as cirrhosis. cirrhosis is the final stage of liver disease.,gooaq
2833345488246711328,why would someone take a chondroitin sulfate supplement?,for treatment of osteoarthritis,naturalquestions
2992165,what causes bumps on the neck?,"common underlying causes of neck lumps. an enlarged lymph node is the most common cause of a neck lump. lymph nodes contain cells that help your body fight off infections and attack malignant cells, or cancer. when you're sick, your lymph nodes can become enlarged to help fight the infection.",gooaq
